pref_cd,pref_name,genuine_pref_cd,genuine_pref_name
10,北海道（札幌方面）,1,北海道
11,北海道（函館方面）,1,北海道
12,北海道（旭川方面）,1,北海道
13,北海道（釧路方面）,1,北海道
14,北海道（北見方面）,1,北海道
20,青森,2,青森
21,岩手,3,岩手
22,宮城,4,宮城
23,秋田,5,秋田
24,山形,6,山形
25,福島,7,福島
30,東京,13,東京
40,茨城,8,茨城
41,栃木,9,栃木
42,群馬,10,群馬
43,埼玉,11,埼玉
44,千葉,12,千葉
45,神奈川,14,神奈川
46,新潟,15,新潟
47,山梨,19,山梨
48,長野,20,長野
49,静岡,22,静岡
50,富山,16,富山
51,石川,17,石川
52,福井,18,福井
53,岐阜,21,岐阜
54,愛知,23,愛知
55,三重,24,三重
60,滋賀,25,滋賀
61,京都,26,京都
62,大阪,27,大阪
63,兵庫,28,兵庫
64,奈良,29,奈良
65,和歌山,30,和歌山
70,鳥取,31,鳥取
71,島根,32,島根
72,岡山,33,岡山
73,広島,34,広島
74,山口,35,山口
80,徳島,36,徳島
81,香川,37,香川
82,愛媛,38,愛媛
83,高知,39,高知
90,福岡,40,福岡
91,佐賀,41,佐賀
92,長崎,42,長崎
93,熊本,43,熊本
94,大分,44,大分
95,宮崎,45,宮崎
96,鹿児島,46,鹿児島
97,沖縄,47,沖縄
